ID,iNSC_1,iNSC_2,iNSC_3,HNF_1,HNF_2,HNF_3,WT-NSC_1,WT-NSC_2,WT-NSC_3
AKR1B10,13.5641,14.1318,7.57465,6.554,1,10.8151,3.51375,1.5392,2.00204
AKR1C1,16.6942,7.94915,14.0672,2662.56,2623.27,333.605,11.9468,12.3136,12.0122
AKR1C2,8.34712,4.41619,1.08209,182.693,363.942,30.7815,9.13576,3.0784,9.00916
AKR1C3,74.0807,62.7099,67.0897,192.524,103.297,23.2941,7.02751,10.7744,15.0153
AKR1E2,3.13017,1.76648,6.49255,32.77,19.2181,21.6303,4.2165,3.0784,2.00204
AKR7A2,218.068,206.678,302.986,933.945,587.352,242.093,193.959,226.263,192.195
AKT1,1397.1,862.924,1717.28,1264.92,648.61,1217.95,1229.11,1757.77,1375.4
AKT1S1,326.581,249.073,306.232,1514.79,458.832,420.126,248.071,301.683,238.242
AKT2,667.769,503.446,878.659,824.985,499.67,671.37,696.426,1139.01,991.008
AKT3,992.264,1272.75,1104.82,345.724,803.556,825.278,627.556,592.592,615.626
AKTIP,165.899,153.684,139.59,188.428,110.504,221.294,186.932,169.312,184.187
ALAD,417.356,336.514,427.426,281.822,411.988,103.992,557.281,595.671,580.59
ALAS1,378.75,487.548,352.762,405.529,454.027,597.328,395.649,409.427,366.372
ALCAM,3553.79,4421.49,3438.89,962.619,1078.61,2514.1,1016.18,828.09,892.908
ALDH16A1,38.6054,15.8983,83.3211,199.078,102.096,33.2773,54.1118,66.1856,88.0896
ALDH18A1,907.749,856.741,927.353,897.079,867.216,1229.6,1120.89,1008.18,956.973
ALDH1A1,1,1,1,818.431,1688.79,2555.7,16.1633,20.0096,14.0142
ALDH1A3,25.0414,39.7457,37.8732,28.6738,69.6655,19.1345,114.548,120.058,120.122
ALDH1B1,88.6881,115.704,121.194,244.137,233.019,226.286,227.691,215.488,201.205
ALDH1L2,19.8244,53.8776,35.709,418.637,1726.02,2098.14,97.6824,86.1953,235.239
ALDH2,205.548,195.196,227.239,912.645,335.115,226.286,468.032,535.642,461.469
ALDH3A2,525.868,546.725,438.247,457.961,542.911,147.252,892.493,823.473,732.745
ALDH3B1,154.422,100.689,227.239,1223.96,832.383,233.773,40.7595,80.0385,54.055
ALDH4A1,143.988,89.2071,211.008,346.543,85.2802,94.8404,149.686,238.576,206.21
ALDH5A1,143.988,147.501,160.15,14.7465,31.2294,5.82354,82.2218,56.9504,38.0387
ALDH6A1,301.54,356.828,290.001,163.031,277.461,83.1934,180.607,223.184,198.202
ALDH7A1,590.559,628.866,546.457,447.311,437.211,321.958,494.034,437.133,526.535
ALDH8A1,4.17356,2.64972,1.08209,1.6385,8.40791,1,19.677,20.0096,18.0183
ALDH9A1,540.476,660.663,447.986,815.973,1066.6,1175.52,739.294,748.052,598.609
ALDOA,3704.03,2315.85,4984.12,12261.7,3351.15,5405.07,2431.52,4768.45,3154.21
ALDOC,98.0786,64.4764,54.1046,391.602,134.527,125.622,40.7595,135.45,54.055
ALG1,251.457,184.597,182.874,462.876,157.348,349.412,264.234,277.056,252.256
ALG10,35.4753,61.8267,57.3509,23.7583,32.4305,47.4202,46.3816,29.2448,27.0275
ALG10B,123.12,162.516,151.493,18.0235,36.0339,94.0085,144.767,147.763,146.149
ALG11,94.9485,143.085,117.948,26.216,134.527,171.378,78.7081,109.283,105.107
ALG12,148.161,81.258,235.896,166.308,72.0678,74.874,139.847,315.536,200.204
ALG13,239.98,264.088,202.351,160.573,190.98,292.841,212.933,149.303,187.19
ALG14,66.7769,60.9435,94.142,170.404,118.912,84.8572,42.8678,61.568,61.0621
ALG2,267.108,329.448,299.74,303.123,497.268,489.177,317.643,258.586,286.291
ALG3,189.897,128.07,204.515,867.586,576.542,248.748,135.631,220.106,157.16
ALG5,136.684,137.785,140.672,421.095,224.611,406.816,220.664,143.146,151.154
ALG6,126.25,114.821,87.6495,91.756,111.705,79.8656,100.493,80.0385,103.105
ALG8,296.323,342.697,287.837,393.24,320.702,509.975,303.588,250.89,281.286
ALG9,273.368,324.149,200.187,258.064,257.042,314.471,340.131,307.84,283.288
ALK,861.84,723.372,867.838,1,1.20113,1,522.144,646.464,555.565
ALKBH1,77.2108,99.806,64.9255,82.7443,45.6429,188.849,67.4641,78.4993,63.0641
ALKBH2,94.9485,63.5932,98.4704,201.536,75.6712,90.6808,92.0604,124.675,101.103
ALKBH3,93.9051,108.638,82.239,355.555,205.393,262.891,49.1926,61.568,71.0723
ALKBH4,68.8637,59.177,64.9255,164.669,231.818,43.2605,71.6806,58.4896,60.0611
ALKBH5,587.428,463.7,631.942,973.27,365.143,740.421,648.639,749.591,732.745
ALKBH6,53.2129,31.7966,31.3807,95.0331,27.626,30.7815,26.0018,30.784,47.0478
ALKBH7,29.2149,14.1318,53.0225,294.93,258.243,31.6135,32.3265,30.784,48.0489
ALKBH8,181.55,216.393,174.217,40.9625,111.705,315.303,101.899,92.3521,99.1008
ALMS1,266.064,432.787,330.038,116.334,379.557,306.984,322.563,323.232,362.368
ALOX5,15.6508,10.5989,5.41046,1,1,1,50.5981,50.7936,46.0468
ALPK1,71.9939,84.7909,49.7762,82.7443,174.164,296.168,26.7045,40.0192,32.0326
ALPK2,2158.77,2628.52,2105.75,666.051,1417.33,1866.03,586.797,472.535,468.476
ALPK3,10.4339,10.5989,10.8209,3.277,1.20113,1.66387,22.488,46.176,32.0326
ALPL,1,2.64972,1.08209,90.1175,115.308,24.958,85.0328,98.5089,76.0773
ALS2,611.426,794.032,647.091,243.317,500.871,998.32,590.311,467.917,578.588
ALS2CL,1,1,1,90.1175,44.4418,33.2773,8.43301,7.69601,10.0102
ALX3,14.6075,6.18267,20.5598,124.526,56.4531,47.4202,10.5413,20.0096,12.0122
ALYREF,218.068,166.049,259.702,1102.71,502.072,255.404,241.746,320.154,279.284
AMACR,85.558,106.872,84.4032,101.587,154.946,128.118,53.4091,43.0976,51.0519
AMBN,1,1,1,1,1,1,995.095,1146.7,952.969
AMBP,16.6942,12.3653,10.8209,31.9508,27.626,1,1,4.6176,1
AMBRA1,350.579,324.149,425.262,258.883,202.991,195.504,438.516,497.162,500.509
AMD1,640.641,851.442,626.531,562.825,747.103,1539.91,1570.65,1152.86,1468.49
AMDHD1,6.26034,1.76648,2.16418,1,1,3.32773,14.055,13.8528,14.0142
AMDHD2,22.9546,3.53295,22.7239,58.1668,44.4418,16.6387,23.1908,49.2544,27.0275
AMER1,56.343,64.4764,71.4181,42.601,88.8836,28.2857,62.5448,64.6464,78.0794
